14.6839   0   0.418177   0.47587   0.541111   0.614819   0.69801   0.791815   0.897484   1.0164   1.15009   1.30025   1.46873   1.65758   1.86906   2.10565   2.37006   2.66528   2.99459   3.36157   3.77013   4.22455   4.72951   5.2901   5.91185   6.6008   7.3635   8.20703   9.13908   10.168   11.3026   12.5527   13.9286   15.4415   17.1031   18.9264   20.9249   23.113   25.5063   28.121   30.9747   34.0859   37.4743   41.1609   45.1679   49.5191   54.2398   59.3571   64.8999   70.899   77.3876   84.401   91.9773   100.157   108.985   118.506   128.773   139.839   151.763   164.607   178.439   193.331   
15.4062   0   0.418209   0.47591   0.541161   0.61488   0.698087   0.79191   0.897602   1.01655   1.15028   1.30048   1.46901   1.65793   1.8695   2.10619   2.37073   2.66611   2.99562   3.36285   3.77172   4.22652   4.73196   5.29313   5.91562   6.60548   7.3693   8.21422   9.148   10.179   11.3163   12.5696   13.9495   15.4672   17.1348   18.9652   20.9724   23.1711   25.5769   28.2066   31.0781   34.2102   37.6231   41.3381   45.3781   49.7671   54.5311   59.6976   65.296   71.3576   77.9162   85.0078   92.6709   100.947   109.88   119.519   129.914   141.12   153.197   166.209   180.223   195.313   
16.1641   0   0.418239   0.475947   0.541206   0.614936   0.698156   0.791997   0.89771   1.01668   1.15044   1.30068   1.46927   1.65825   1.86989   2.10667   2.37134   2.66687   2.99656   3.36401   3.77316   4.22832   4.73418   5.29589   5.91905   6.60973   7.37457   8.22076   9.15611   10.189   11.3287   12.585   13.9685   15.4906   17.1637   19.0008   21.016   23.2244   25.6419   28.2857   31.1738   34.3256   37.7616   41.5037   45.575   50.0003   54.8058   60.0197   65.6718   71.7941   78.4209   85.5886   93.3367   101.707   110.745   120.498   131.02   142.365   154.593   167.77   181.965   197.251   
16.9592   0   0.418265   0.47598   0.541247   0.614987   0.69822   0.792075   0.897807   1.0168   1.15059   1.30087   1.4695   1.65854   1.87025   2.10712   2.37189   2.66755   2.99741   3.36507   3.77447   4.22994   4.7362   5.2984   5.92216   6.61359   7.37936   8.22671   9.16347   10.1982   11.34   12.599   13.9858   15.512   17.19   19.0332   21.0559   23.2733   25.7017   28.3585   31.2622   34.4325   37.8903   41.658   45.7591   50.2189   55.0642   60.3237   66.0276   72.2087   78.9017   86.1437   93.9747   102.437   111.577   121.444   132.09   143.571   155.95   169.291   183.664   199.146   
17.7935   0   0.418289   0.47601   0.541285   0.615034   0.698277   0.792147   0.897896   1.01691   1.15073   1.30104   1.46971   1.6588   1.87057   2.10752   2.37239   2.66817   2.99818   3.36602   3.77566   4.23142   4.73804   5.30068   5.92498   6.6171   7.38371   8.2321   9.17017   10.2065   11.3503   12.6117   14.0016   15.5315   17.2141   19.0629   21.0924   23.3181   25.7565   28.4254   31.3437   34.5313   38.0096   41.8014   45.9308   50.4236   55.3069   60.61   66.3639   72.6017   79.3588   86.6731   94.5849   103.138   112.378   122.356   133.124   144.74   157.267   170.77   185.32   200.995   
18.6688   0   0.418311   0.476037   0.541318   0.615076   0.698329   0.792211   0.897976   1.01701   1.15085   1.30119   1.4699   1.65903   1.87087   2.10789   2.37284   2.66874   2.99888   3.36689   3.77674   4.23276   4.7397   5.30275   5.92755   6.62029   7.38767   8.23701   9.17626   10.214   11.3597   12.6233   14.0159   15.5492   17.236   19.09   21.1257   23.3591   25.8068   28.487   31.4187   34.6225   38.1201   41.9346   46.0907   50.6147   55.5342   60.8791   66.681   72.9735   79.7927   87.177   95.1675   103.808   113.147   123.233   134.122   145.871   158.544   172.207   186.932   202.798   
19.5871   0   0.418331   0.476062   0.541349   0.615114   0.698376   0.79227   0.898049   1.0171   1.15097   1.30133   1.47007   1.65925   1.87113   2.10822   2.37325   2.66925   2.99952   3.36768   3.77772   4.23398   4.74121   5.30462   5.92988   6.62318   7.39126   8.24147   9.18179   10.2209   11.3682   12.6339   14.029   15.5654   17.256   19.1147   21.1562   23.3966   25.8529   28.5434   31.4877   34.7065   38.2221   42.058   46.2393   50.7928   55.7468   61.1316   66.9794   73.3245   80.2035   87.6557   95.7226   104.449   113.883   124.076   135.083   146.963   159.779   173.6   188.499   204.554   
20.5507   0   0.418349   0.476084   0.541377   0.615148   0.698419   0.792323   0.898116   1.01718   1.15107   1.30146   1.47023   1.65945   1.87138   2.10852   2.37363   2.66972   3.0001   3.3684   3.77861   4.23509   4.74259   5.30633   5.932   6.62581   7.39452   8.24552   9.18681   10.2271   11.3759   12.6435   14.0409   15.5801   17.2742   19.1372   21.184   23.4308   25.895   28.5951   31.551   34.7839   38.3162   42.1721   46.3771   50.9584   55.9451   61.3678   67.2595   73.6551   80.5918   88.1095   96.2505   105.06   114.588   124.885   136.008   148.016   160.973   174.95   190.02   206.262   
21.5616   0   0.418366   0.476104   0.541402   0.61518   0.698459   0.792372   0.898176   1.01726   1.15116   1.30157   1.47037   1.65962   1.8716   2.1088   2.37397   2.67014   3.00062   3.36905   3.77942   4.23609   4.74384   5.30788   5.93392   6.6282   7.39749   8.2492   9.19138   10.2328   11.3829   12.6522   14.0517   15.5935   17.2908   19.1577   21.2093   23.4621   25.9335   28.6425   31.6091   34.8549   38.4028   42.2774   46.5046   51.1122   56.1297   61.5885   67.522   73.9659   80.958   88.5388   96.7515   105.642   115.261   125.659   136.895   149.029   162.126   176.256   191.494   207.921   
22.6223   0   0.418381   0.476123   0.541425   0.615208   0.698494   0.792416   0.89823   1.01733   1.15124   1.30168   1.4705   1.65979   1.8718   2.10904   2.37428   2.67052   3.0011   3.36965   3.78016   4.237   4.74497   5.30928   5.93567   6.63036   7.40018   8.25254   9.19553   10.2379   11.3893   12.6601   14.0615   15.6057   17.3059   19.1763   21.2324   23.4906   25.9687   28.6858   31.6623   34.9201   38.4825   42.3744   46.6224   51.2547   56.3013   61.7942   67.7675   74.2574   81.3026   88.9441   97.226   106.195   115.902   126.4   137.746   150.003   163.236   177.517   192.921   209.53   
23.7351   0   0.418394   0.47614   0.541446   0.615234   0.698526   0.792456   0.89828   1.01739   1.15132   1.30177   1.47062   1.65993   1.87198   2.10927   2.37456   2.67087   3.00153   3.37018   3.78082   4.23783   4.746   5.31056   5.93726   6.63233   7.40262   8.25557   9.19929   10.2426   11.3951   12.6673   14.0704   15.6167   17.3196   19.1933   21.2534   23.5166   26.0008   28.7253   31.711   34.9798   38.5557   42.4638   46.7311   51.3864   56.4604   61.9855   67.9965   74.5303   81.6261   89.3259   97.6744   106.719   116.511   127.105   138.56   150.937   164.304   178.732   194.3   211.089   
24.9027   0   0.418407   0.476155   0.541465   0.615258   0.698555   0.792492   0.898325   1.01745   1.15139   1.30186   1.47073   1.66007   1.87215   2.10948   2.37481   2.67119   3.00192   3.37067   3.78143   4.23858   4.74693   5.31172   5.9387   6.63412   7.40485   8.25833   9.20272   10.2469   11.4004   12.6738   14.0785   15.6268   17.3321   19.2088   21.2725   23.5402   26.03   28.7614   31.7554   35.0345   38.6227   42.5458   46.8312   51.5081   56.6077   62.1631   68.2098   74.7852   81.9293   89.6849   98.0973   107.215   117.09   127.778   139.337   151.831   165.329   179.903   195.631   212.597   
26.1277   0   0.418418   0.476169   0.541482   0.615279   0.698582   0.792525   0.898366   1.0175   1.15145   1.30194   1.47083   1.66019   1.8723   2.10966   2.37505   2.67148   3.00228   3.37112   3.78198   4.23927   4.74778   5.31278   5.94001   6.63575   7.40686   8.26084   9.20583   10.2507   11.4052   12.6798   14.0859   15.636   17.3434   19.2228   21.29   23.5618   26.0567   28.7944   31.796   35.0845   38.6842   42.6211   46.9232   51.6202   56.7438   62.3277   68.4079   75.0227   82.2128   90.0216   98.4954   107.683   117.638   128.416   140.077   152.686   166.312   181.027   196.913   214.054   
