z   Li_{-1/2}   Li_{1/2}   Li_{3/2}   Li_{5/2}   Li_{7/2}
-21.356783919597994   -5.307213906905635e-10   -5.307213908897308e-10   -5.307213909893145e-10   -5.307213910391063e-10   -5.307213910640022e-10
-20.854271356783922   -8.7721293121659e-10   -8.772129317607104e-10   -8.772129320327706e-10   -8.772129321688007e-10   -8.772129322368158e-10
-20.35175879396985   -1.4499180548313052e-09   -1.4499180563178292e-09   -1.4499180570610913e-09   -1.4499180574327223e-09   -1.4499180576185376e-09
-19.84924623115578   -2.3965245948877816e-09   -2.396524598948929e-09   -2.396524600979503e-09   -2.39652460199479e-09   -2.3965246025024332e-09
-19.346733668341713   -3.961141189838214e-09   -3.961141200933172e-09   -3.961141206480651e-09   -3.96114120925439e-09   -3.961141210641259e-09
-18.84422110552764   -6.547247433486452e-09   -6.547247463797609e-09   -6.547247478953188e-09   -6.547247486530977e-09   -6.547247490319871e-09
-18.34170854271357   -1.0821742219870663e-08   -1.0821742302680014e-08   -1.0821742344084688e-08   -1.0821742364787027e-08   -1.0821742375138195e-08
-17.8391959798995   -1.7886922008197156e-08   -1.7886922234430306e-08   -1.788692234754688e-08   -1.7886922404105167e-08   -1.788692243238431e-08
-17.336683417085432   -2.9564738314759914e-08   -2.956473893282341e-08   -2.9564739241855167e-08   -2.9564739396371046e-08   -2.9564739473628984e-08
-16.834170854271363   -4.8866637971325043e-08   -4.886663965985959e-08   -4.886664050412688e-08   -4.886664092626053e-08   -4.886664113732736e-08
-16.331658291457288   -8.077014714762054e-08   -8.077015176065599e-08   -8.077015406717382e-08   -8.077015522043276e-08   -8.077015579706225e-08
-15.82914572864322   -1.335024619845615e-07   -1.3350247458726216e-07   -1.3350248088861297e-07   -1.335024840392885e-07   -1.3350248561462634e-07
-15.32663316582915   -2.2066205296879605e-07   -2.2066208739906583e-07   -2.2066210461420278e-07   -2.2066211322177195e-07   -2.2066211752555675e-07
-14.824120603015075   -3.647253914134561e-07   -3.6472548547610175e-07   -3.647255325074339e-07   -3.6472555602310307e-07   -3.647255677809387e-07
-14.321608040201006   -6.028430881429786e-07   -6.02843345119761e-07   -6.028434736081943e-07   -6.02843537852425e-07   -6.028435699745451e-07
-13.819095477386938   -9.964200946207313e-07   -9.9642079667466e-07   -9.96421147701815e-07   -9.964213232154556e-07   -9.964214109722973e-07
-13.31658291457287   -1.6469503651960825e-06   -1.6469522831884692e-06   -1.646953242185522e-06   -1.6469537216843353e-06   -1.6469539614338374e-06
-12.8140703517588   -2.7221890554810353e-06   -2.7221942953808393e-06   -2.7221969153346236e-06   -2.72219822531281e-06   -2.722198880302334e-06
-12.311557788944725   -4.499410579510841e-06   -4.499424894749355e-06   -4.499432052386142e-06   -4.499435631210379e-06   -4.499437420624446e-06
-11.809045226130657   -7.436905347448548e-06   -7.436944456147775e-06   -7.436964010576549e-06   -7.436973787817322e-06   -7.436978676446504e-06
-11.306532663316588   -1.2292145863495883e-05   -1.229225270667309e-05   -1.2292306128619143e-05   -1.229233283971132e-05   -1.2292346195297126e-05
-10.804020100502512   -2.0317076193732075e-05   -2.0317368082893594e-05   -2.031751402908842e-05   -2.0317587002723863e-05   -2.031762348972093e-05
-10.301507537688444   -3.358083537077329e-05   -3.358163278765948e-05   -3.358203150339087e-05   -3.3582230863686036e-05   -3.358233054464345e-05
-9.798994974874375   -5.5503000707200886e-05   -5.550517915293433e-05   -5.550626840871067e-05   -5.5506813047569e-05   -5.550708537065497e-05
-9.296482412060307   -9.173448786740694e-05   -9.174043897652123e-05   -9.174341467967449e-05   -9.174490258078537e-05   -9.174564654785278e-05
-8.793969849246238   -0.00015161224890463475   -0.00015162850560138238   -0.00015163663462067824   -0.00015164069935398337   -0.00015164273179519246
-8.291457286432163   -0.0002505601086423065   -0.00025060451436787243   -0.0002506267202596855   -0.000250637824215392   -0.00025064337652987606
-7.788944723618094   -0.00041404723670662193   -0.00041416851967562477   -0.00041422917483365006   -0.0004142595069714237   -0.0004142746745601275
-7.286432160804026   -0.0006841042605531844   -0.0006844354564636547   -0.0006846011161305138   -0.0006846839665413451   -0.0006847253986076102
-6.78391959798995   -0.0011300207200732656   -0.0011309248795787373   -0.0011313772377539312   -0.0011316035097001646   -0.0011317166766389543
-6.2814070351758815   -0.0018658284045529553   -0.0018682955719822349   -0.0018695304111343708   -0.0018701482495707311   -0.0018704573085043719
-5.778894472361813   -0.0030786612902055366   -0.003085388134359455   -0.0030887572120425226   -0.0030904436389227797   -0.003091287482419324
-5.276381909547744   -0.00507417797920637   -0.005092495309386431   -0.00510167941303285   -0.005106279965449722   -0.005108583080470405
-4.773869346733676   -0.008347742347148064   -0.008397514680523483   -0.008422514977633971   -0.00843505332576967   -0.008441335272208084
-4.2713567839196   -0.013691750108107302   -0.013826520756591397   -0.013894415994634451   -0.013928534735572247   -0.013945651436172631
-3.7688442211055317   -0.022346210773272465   -0.022709055351266685   -0.022892740335043925   -0.02298534547202883   -0.023031904380981058
-3.266331658291463   -0.03618032598655547   -0.037148198156411634   -0.03764206395689059   -0.03789236748338875   -0.03801865823068778
-2.7638190954773876   -0.05783310760280789   -0.06037673485944494   -0.06169135454860247   -0.06236336220104133   -0.06270437560787959
-2.261306532663319   -0.09060416635099446   -0.0971341337466507   -0.10057852761011402   -0.10236346145429903   -0.10327760784540953
-1.7587939698492505   -0.13766821556566325   -0.15384118373776995   -0.16264777183663562   -0.1673101533647688   -0.16973282466781772
-1.256281407035182   -0.2000922530067402   -0.23809613758177586   -0.2598095537600697   -0.27168478663962053   -0.27799399866206626
-0.7537688442211135   -0.27381596526607493   -0.35687427708231667   -0.40774424080859994   -0.43691364162354795   -0.4529273328656041
-0.2512562814070378   -0.34778728728588354   -0.5133562836787128   -0.6248329078545611   -0.6930609852709131   -0.7322788919050832
0.2512562814070307   -0.40692204979232677   -0.7039015606673423   -0.929427973401831   -1.0795652226798769   -1.1712579568989028
0.7537688442210992   -0.4399294403178828   -0.9178858509586033   -1.3362172192410098   -1.644314789714653   -1.847092682153913
1.2562814070351749   -0.44531769368311047   -1.1413651374287732   -1.8535062677684273   -2.4410456746230995   -2.8626801842322447
1.7587939698492434   -0.4300131426896205   -1.3619623317361256   -2.4828085845451873   -3.5259271425947576   -4.348675649548324
2.261306532663312   -0.4035211917464715   -1.5716781502925563   -3.2204643717074033   -4.954496001529647   -6.463910203460633
2.7638190954773805   -0.3734732674578942   -1.7669342101530707   -4.059945556381309   -6.779635779143078   -9.39451644598046
