z   Li_{-1/2}   Li_{1/2}   Li_{3/2}   Li_{5/2}   Li_{7/2}
-43.918546365914786   -8.44146181100221e-20   -8.44146181100221e-20   -8.44146181100221e-20   -8.44146181100221e-20   -8.44146181100221e-20
-43.66541353383459   -1.087306169391097e-19   -1.087306169391097e-19   -1.087306169391097e-19   -1.087306169391097e-19   -1.087306169391097e-19
-43.41228070175438   -1.4005094525868486e-19   -1.4005094525868486e-19   -1.4005094525868486e-19   -1.4005094525868486e-19   -1.4005094525868486e-19
-43.159147869674186   -1.803932307202414e-19   -1.803932307202414e-19   -1.803932307202414e-19   -1.803932307202414e-19   -1.803932307202414e-19
-42.90601503759399   -2.323562874179763e-19   -2.323562874179763e-19   -2.323562874179763e-19   -2.323562874179763e-19   -2.323562874179763e-19
-42.652882205513784   -2.9928752917782075e-19   -2.9928752917782075e-19   -2.9928752917782075e-19   -2.9928752917782075e-19   -2.9928752917782075e-19
-42.399749373433586   -3.8549860697436166e-19   -3.8549860697436166e-19   -3.8549860697436166e-19   -3.8549860697436166e-19   -3.8549860697436166e-19
-42.14661654135338   -4.965431616459994e-19   -4.965431616459994e-19   -4.965431616459994e-19   -4.965431616459994e-19   -4.965431616459994e-19
-41.893483709273184   -6.395745844907839e-19   -6.395745844907839e-19   -6.395745844907839e-19   -6.395745844907839e-19   -6.395745844907839e-19
-41.640350877192986   -8.238068323619105e-19   -8.238068323619105e-19   -8.238068323619105e-19   -8.238068323619105e-19   -8.238068323619105e-19
-41.38721804511278   -1.0611079825607878e-18   -1.0611079825607878e-18   -1.0611079825607878e-18   -1.0611079825607878e-18   -1.0611079825607878e-18
-41.134085213032584   -1.3667647638051762e-18   -1.3667647638051762e-18   -1.3667647638051762e-18   -1.3667647638051762e-18   -1.3667647638051762e-18
-40.88095238095238   -1.7604673136764546e-18   -1.7604673136764546e-18   -1.7604673136764546e-18   -1.7604673136764546e-18   -1.7604673136764546e-18
-40.62781954887218   -2.267577599743381e-18   -2.267577599743381e-18   -2.267577599743381e-18   -2.267577599743381e-18   -2.267577599743381e-18
-40.374686716791985   -2.9207632149215535e-18   -2.9207632149215535e-18   -2.9207632149215535e-18   -2.9207632149215535e-18   -2.9207632149215535e-18
-40.12155388471178   -3.7621017947100805e-18   -3.7621017947100805e-18   -3.7621017947100805e-18   -3.7621017947100805e-18   -3.7621017947100805e-18
-39.868421052631575   -4.84579162098936e-18   -4.84579162098936e-18   -4.84579162098936e-18   -4.84579162098936e-18   -4.84579162098936e-18
-39.61528822055138   -6.241643027062242e-18   -6.241643027062242e-18   -6.241643027062242e-18   -6.241643027062242e-18   -6.241643027062242e-18
-39.36215538847118   -8.039575517141341e-18   -8.039575517141341e-18   -8.039575517141341e-18   -8.039575517141341e-18   -8.039575517141341e-18
-39.109022556390975   -1.0355410300713818e-17   -1.0355410300713818e-17   -1.0355410300713818e-17   -1.0355410300713818e-17   -1.0355410300713818e-17
-38.85588972431078   -1.3338331391687558e-17   -1.3338331391687558e-17   -1.3338331391687558e-17   -1.3338331391687558e-17   -1.3338331391687558e-17
-38.60275689223057   -1.718049590968069e-17   -1.718049590968069e-17   -1.718049590968069e-17   -1.718049590968069e-17   -1.718049590968069e-17
-38.349624060150376   -2.2129412670501068e-17   -2.2129412670501068e-17   -2.2129412670501068e-17   -2.2129412670501068e-17   -2.2129412670501068e-17
-38.09649122807018   -2.850388648359073e-17   -2.850388648359073e-17   -2.850388648359073e-17   -2.850388648359073e-17   -2.850388648359073e-17
-37.84335839598997   -3.671455527387187e-17   -3.671455527387187e-17   -3.671455527387187e-17   -3.671455527387187e-17   -3.671455527387187e-17
-37.590225563909776   -4.729034301109019e-17   -4.72903430110902e-17   -4.72903430110902e-17   -4.72903430110902e-17   -4.72903430110902e-17
-37.33709273182957   -6.09125325208042e-17   -6.09125325208042e-17   -6.09125325208042e-17   -6.09125325208042e-17   -6.09125325208042e-17
-37.083959899749374   -7.845865311714656e-17   -7.845865311714657e-17   -7.845865311714657e-17   -7.845865311714657e-17   -7.845865311714657e-17
-36.830827067669176   -1.0105901025957641e-16   -1.0105901025957641e-16   -1.0105901025957642e-16   -1.0105901025957642e-16   -1.0105901025957642e-16
-36.57769423558897   -1.3016949882374774e-16   -1.3016949882374777e-16   -1.3016949882374777e-16   -1.3016949882374777e-16   -1.3016949882374777e-16
-36.324561403508774   -1.676653905525451e-16   -1.6766539055254514e-16   -1.6766539055254516e-16   -1.6766539055254516e-16   -1.6766539055254516e-16
-36.07142857142857   -2.1596213739135235e-16   -2.159621373913524e-16   -2.159621373913524e-16   -2.1596213739135243e-16   -2.1596213739135243e-16
-35.81829573934837   -2.781709727507806e-16   -2.7817097275078067e-16   -2.7817097275078067e-16   -2.781709727507807e-16   -2.781709727507807e-16
-35.565162907268174   -3.5829933439163106e-16   -3.5829933439163116e-16   -3.582993343916312e-16   -3.5829933439163125e-16   -3.5829933439163125e-16
-35.31203007518797   -4.615090199957843e-16   -4.615090199957844e-16   -4.615090199957845e-16   -4.615090199957846e-16   -4.615090199957846e-16
-35.05889724310777   -5.944487055749399e-16   -5.944487055749401e-16   -5.944487055749403e-16   -5.944487055749403e-16   -5.944487055749404e-16
-34.80576441102757   -7.656822472569487e-16   -7.656822472569491e-16   -7.656822472569493e-16   -7.656822472569494e-16   -7.656822472569494e-16
-34.55263157894737   -9.862403572692079e-16   -9.862403572692086e-16   -9.862403572692088e-16   -9.86240357269209e-16   -9.862403572692092e-16
-34.29949874686717   -1.2703311925946803e-15   -1.2703311925946815e-15   -1.2703311925946821e-15   -1.2703311925946825e-15   -1.2703311925946825e-15
-34.04636591478697   -1.6362556317886933e-15   -1.636255631788695e-15   -1.636255631788696e-15   -1.6362556317886966e-15   -1.6362556317886968e-15
-33.79323308270676   -2.107586201273782e-15   -2.107586201273785e-15   -2.1075862012737866e-15   -2.1075862012737874e-15   -2.1075862012737878e-15
-33.540100250626566   -2.714685596494405e-15   -2.71468559649441e-15   -2.7146855964944125e-15   -2.714685596494414e-15   -2.7146855964944145e-15
-33.28696741854637   -3.4966626197116846e-15   -3.4966626197116933e-15   -3.4966626197116976e-15   -3.4966626197117e-15   -3.4966626197117008e-15
-33.03383458646617   -4.503891534208528e-15   -4.5038915342085426e-15   -4.50389153420855e-15   -4.503891534208553e-15   -4.503891534208555e-15
-32.780701754385966   -5.801257129459054e-15   -5.801257129459078e-15   -5.8012571294590896e-15   -5.801257129459095e-15   -5.801257129459098e-15
-32.52756892230576   -7.472334541469731e-15   -7.47233454146977e-15   -7.47233454146979e-15   -7.4723345414698e-15   -7.472334541469805e-15
-32.274436090225564   -9.624773088595663e-15   -9.624773088595728e-15   -9.624773088595761e-15   -9.624773088595779e-15   -9.624773088595786e-15
-32.021303258145366   -1.2397230944739608e-14   -1.2397230944739717e-14   -1.2397230944739772e-14   -1.23972309447398e-14   -1.2397230944739812e-14
-31.768170426065165   -1.5968307375403758e-14   -1.5968307375403938e-14   -1.5968307375404026e-14   -1.5968307375404073e-14   -1.5968307375404095e-14
