r (km)   P (dyn/cm^2)   M/M_solar   rho (g/cm^3)   g_{tt}   g_{rr}   n_b (fm^{-3})   A_eq   M_n* (MeV, core)/A (crust)   Z_eq   M_p* (MeV, core)/Z (crust)   n_e (fm^{-3})   n_n(n_nf) (fm^{-3})   mu_n(mu_nf) (MeV)
0.1751   8.85938486e+34   8.25536347e-06   7.29930873e+14   -0.546993399   1.00013926   0.406893072   0   451.206388   0   459.982755   0.0305043418   0.358784466   1141.43378
0.1801   8.85917387e+34   8.98290076e-06   7.29924437e+14   -0.546994939   1.00014733   0.40688991   0   451.209569   0   459.984697   0.03050387   0.358782169   1141.43045
0.1851   8.85895693e+34   9.75197002e-06   7.2991782e+14   -0.546996521   1.00015562   0.406886659   0   451.212839   0   459.986693   0.0305033849   0.358779807   1141.42703
0.1901   8.85873406e+34   1.05637235e-05   7.29911021e+14   -0.546998148   1.00016414   0.40688332   0   451.2162   0   459.988744   0.0305028865   0.358777381   1141.42352
0.1951   8.85850525e+34   1.14193134e-05   7.29904041e+14   -0.546999818   1.00017289   0.406879891   0   451.21965   0   459.99085   0.0305023748   0.35877489   1141.41991
0.2001   8.8582705e+34   1.23198918e-05   7.2989688e+14   -0.547001531   1.00018187   0.406876373   0   451.223189   0   459.99301   0.0305018498   0.358772334   1141.41621
0.2051   8.85802982e+34   1.32666107e-05   7.29889538e+14   -0.547003289   1.00019107   0.406872766   0   451.226818   0   459.995225   0.0305013116   0.358769714   1141.41241
0.2101   8.8577832e+34   1.42606223e-05   7.29882014e+14   -0.547005089   1.0002005   0.406869071   0   451.230537   0   459.997495   0.0305007601   0.358767029   1141.40852
0.2151   8.85753064e+34   1.53030783e-05   7.2987431e+14   -0.547006934   1.00021016   0.406865286   0   451.234345   0   459.999819   0.0305001953   0.358764279   1141.40454
0.2201   8.85727215e+34   1.63951306e-05   7.29866424e+14   -0.547008822   1.00022004   0.406861412   0   451.238243   0   460.002199   0.0304996173   0.358761464   1141.40047
0.2251   8.85700773e+34   1.75379311e-05   7.29858357e+14   -0.547010754   1.00023015   0.406857449   0   451.24223   0   460.004632   0.0304990259   0.358758585   1141.3963
0.2301   8.85673737e+34   1.87326313e-05   7.29850109e+14   -0.547012729   1.00024049   0.406853397   0   451.246308   0   460.007121   0.0304984213   0.358755641   1141.39203
0.2351   8.85646107e+34   1.99803829e-05   7.29841679e+14   -0.547014749   1.00025106   0.406849256   0   451.250475   0   460.009664   0.0304978034   0.358752633   1141.38768
0.2401   8.85617884e+34   2.12823375e-05   7.29833069e+14   -0.547016811   1.00026185   0.406845027   0   451.254731   0   460.012262   0.0304971723   0.358749559   1141.38323
0.2451   8.85589068e+34   2.26396465e-05   7.29824277e+14   -0.547018918   1.00027287   0.406840708   0   451.259077   0   460.014914   0.0304965279   0.358746421   1141.37868
