r (km)   P (dyn/cm^2)   M/M_solar   rho (g/cm^3)   g_{tt}   g_{rr}   n_b (fm^{-3})   A_eq   M_n* (MeV, core)/A (crust)   Z_eq   M_p* (MeV, core)/Z (crust)   n_e (fm^{-3})   n_n(n_nf) (fm^{-3})   mu_n(mu_nf) (MeV)
11.6301   2.3467455e+32   1.39018202   8.78918308e+13   -0.657902617   1.54564723   0.0520828871   1209.33601   226.652705   40   39.8715947   0.00172269366   0.0423160276   949.544098
11.6326   2.30055442e+32   1.39036846   8.65755511e+13   -0.65794127   1.54557906   0.0513052709   1206.74475   227.169651   40   39.8838722   0.00170061717   0.0416421185   949.491191
11.6351   2.25507615e+32   1.39055218   8.5266761e+13   -0.65797991   1.54550928   0.050532031   1203.97148   227.624521   40   39.8948021   0.00167884479   0.0409739597   949.438207
11.6376   2.2103063e+32   1.39073319   8.39653963e+13   -0.658018539   1.54543789   0.04976313   1201.02129   228.018271   40   39.9045521   0.00165736047   0.0403114635   949.385128
11.6401   2.16624049e+32   1.3909115   8.26714607e+13   -0.658057155   1.54536491   0.0489985706   1197.89982   228.351913   40   39.9132658   0.00163614919   0.0396545779   949.331938
11.6426   2.12287432e+32   1.39108712   8.13850133e+13   -0.658095758   1.54529033   0.0482383882   1194.61323   228.626528   40   39.9210669   0.00161519685   0.0390032797   949.278622
11.6451   2.08020334e+32   1.39126007   8.01061498e+13   -0.658134349   1.54521418   0.0474826399   1191.16811   228.843282   40   39.9280623   0.00159448997   0.0383575644   949.225169
11.64635   2.05912645e+32   1.39134555   7.94695881e+13   -0.658153638   1.54517551   0.0471064442   1189.38823   228.930349   40   39.9312873   0.00158422433   0.0380367971   949.198387
11.6476   2.03822167e+32   1.39143037   7.88349855e+13   -0.658172925   1.54513646   0.0467313944   1187.5714   229.003424   40   39.9343446   0.00157401548   0.0377174375   949.171567
11.64885   2.01748842e+32   1.39151453   7.82023617e+13   -0.658192208   1.54509701   0.0463575023   1185.71855   229.062676   40   39.9372439   0.00156386192   0.0373994889   949.144707
11.6501   1.99692611e+32   1.39159802   7.75717455e+13   -0.658211488   1.54505718   0.0459847851   1183.83065   229.108281   40   39.9399942   0.00155376227   0.0370829591   949.117808
11.65135   1.97653415e+32   1.39168086   7.69431689e+13   -0.658230765   1.54501696   0.0456132616   1181.9087   229.140418   40   39.9426041   0.00154371524   0.0367678576   949.090869
11.6526   1.95631195e+32   1.39176305   7.63166647e+13   -0.658250038   1.54497635   0.0452429513   1179.95369   229.159274   40   39.9450815   0.00153371956   0.036454194   949.063888
11.65385   1.93625889e+32   1.39184458   7.5692264e+13   -0.658269309   1.54493536   0.0448738726   1177.96665   229.16504   40   39.9474337   0.00152377395   0.0361419771   949.036865
11.6551   1.91637436e+32   1.39192546   7.50700025e+13   -0.658288576   1.54489398   0.0445060468   1175.94863   229.157912   40   39.9496679   0.00151387725   0.0358312181   949.009801
11.65635   1.89665772e+32   1.39200569   7.44499193e+13   -0.65830784   1.54485223   0.044139497   1173.90067   229.138092   40   39.9517905   0.00150402834   0.0355219296   948.982694
11.6576   1.87710835e+32   1.39208527   7.38320542e+13   -0.6583271   1.54481009   0.0437742467   1171.82386   229.105787   40   39.9538076   0.00149422616   0.0352141246   948.955544
11.65885   1.85772558e+32   1.39216421   7.32164474e+13   -0.658346357   1.54476758   0.0434103199   1169.71927   229.061207   40   39.955725   0.00148446968   0.0349078163   948.928352
11.6601   1.83850877e+32   1.39224251   7.26031398e+13   -0.658365611   1.54472469   0.0430477408   1167.588   229.004569   40   39.9575481   0.00147475791   0.0346030181   948.901117
11.66135   1.81945725e+32   1.39232016   7.19921758e+13   -0.658384862   1.54468142   0.0426865356   1165.43114   228.936094   40   39.9592819   0.00146508993   0.0342997451   948.873839
11.6626   1.80057032e+32   1.39239718   7.13836002e+13   -0.658404109   1.54463778   0.042326731   1163.2498   228.856005   40   39.9609314   0.00145546488   0.0339980124   948.846519
11.66385   1.7818473e+32   1.39247356   7.07774585e+13   -0.658423353   1.54459377   0.0419683539   1161.04511   228.764532   40   39.9625009   0.00144588194   0.0336978358   948.819156
11.6651   1.76328749e+32   1.39254931   7.01737967e+13   -0.658442594   1.54454938   0.0416114316   1158.81817   228.661907   40   39.9639946   0.00143634033   0.0333992307   948.791752
11.66635   1.74489016e+32   1.39262442   6.9572662e+13   -0.658461831   1.54450463   0.0412559921   1156.57009   228.548366   40   39.9654167   0.00142683932   0.0331022136   948.764306
11.6676   1.72665458e+32   1.39269891   6.89741025e+13   -0.658481065   1.54445951   0.0409020638   1154.30201   228.424147   40   39.9667708   0.00141737824   0.0328068009   948.73682
11.66885   1.70858002e+32   1.39277277   6.83781663e+13   -0.658500296   1.54441402   0.0405496754   1152.01502   228.289492   40   39.9680605   0.00140795648   0.0325130094   948.709293
11.6701   1.69066572e+32   1.39284601   6.7784902e+13   -0.658519523   1.54436817   0.0401988555   1149.71025   228.144647   40   39.9692891   0.00139857344   0.0322208557   948.681726
11.67135   1.67291091e+32   1.39291862   6.71943581e+13   -0.658538747   1.54432196   0.0398496331   1147.3888   227.989856   40   39.9704597   0.00138922859   0.0319303565   948.65412
11.6726   1.65531481e+32   1.39299062   6.6606584e+13   -0.658557967   1.54427538   0.0395020375   1145.05177   227.825369   40   39.9715755   0.00137992145   0.031641529   948.626477
11.67385   1.63787663e+32   1.393062   6.60216289e+13   -0.658577184   1.54422845   0.0391560976   1142.70024   227.651437   40   39.9726391   0.00137065159   0.03135439   948.598796
11.6751   1.62059557e+32   1.39313277   6.54395415e+13   -0.658596398   1.54418116   0.0388118426   1140.3353   227.46831   40   39.9736532   0.00136141861   0.0310689561   948.571079
11.67635   1.60347079e+32   1.39320292   6.48603701e+13   -0.658615608   1.54413352   0.038469301   1137.95802   227.276241   40   39.9746204   0.00135222215   0.0307852438   948.543326
11.6776   1.58650149e+32   1.39327247   6.42841627e+13   -0.658634815   1.54408552   0.0381285013   1135.56944   227.075484   40   39.9755429   0.0013430619   0.0305032694   948.515539
11.67885   1.5696868e+32   1.39334142   6.37109669e+13   -0.658654018   1.54403717   0.0377894719   1133.17062   226.866291   40   39.9764232   0.00133393758   0.0302230488   948.487719
11.6801   1.55302588e+32   1.39340976   6.31408308e+13   -0.658673218   1.54398848   0.0374522411   1130.76256   226.648917   40   39.9772632   0.00132484899   0.0299445983   948.459867
11.68135   1.53651787e+32   1.39347751   6.25738008e+13   -0.658692414   1.54393943   0.0371168367   1128.34629   226.423615   40   39.9780651   0.00131579594   0.0296679333   948.431984
11.6826   1.52016187e+32   1.39354466   6.20099225e+13   -0.658711607   1.54389004   0.0367832856   1125.92278   226.190637   40   39.9788306   0.00130677827   0.0293930688   948.404071
11.68385   1.503957e+32   1.39361122   6.14492406e+13   -0.658730796   1.54384031   0.0364516144   1123.49301   225.950235   40   39.9795617   0.00129779586   0.0291200193   948.37613
11.6851   1.48790237e+32   1.39367719   6.08917987e+13   -0.658749982   1.54379024   0.036121849   1121.05792   225.702659   40   39.9802599   0.00128884863   0.0288487989   948.348162
11.68635   1.47199705e+32   1.39374258   6.03376394e+13   -0.658769165   1.54373983   0.0357940149   1118.61842   225.448159   40   39.980927   0.00127993654   0.0285794211   948.320168
