r (km)   P (dyn/cm^2)   M/M_solar   rho (g/cm^3)   g_{tt}   g_{rr}   n_b (fm^{-3})   A_eq   M_n* (MeV)   Z_eq   M_p* (MeV)   n_e (fm^{-3})   n_n(n_nf) (fm^{-3})   mu_n(mu_nf) (MeV)
2.221   1.2478629e+35   0.0222801633   9.52630983e+14   -0.514898108   1.03053123   0.522722173   0   316.490877   0   490.630374   0.0258938628   0.483029074   1171.3149
2.226   1.24737984e+35   0.022428969   9.5248693e+14   -0.514923453   1.03067025   0.522653219   0   316.518345   0   490.661781   0.0258904905   0.482966223   1171.25713
2.231   1.2468958e+35   0.0225784221   9.52342551e+14   -0.514948855   1.03080958   0.522584106   0   316.545882   0   490.693265   0.0258871104   0.482903226   1171.19924
2.236   1.24641078e+35   0.0227285239   9.52197847e+14   -0.514974314   1.03094925   0.522514834   0   316.573488   0   490.724826   0.0258837227   0.482840083   1171.14122
2.241   1.24592479e+35   0.0228792756   9.52052817e+14   -0.51499983   1.03108923   0.522445401   0   316.601162   0   490.756463   0.0258803272   0.482776794   1171.08308
2.246   1.24543782e+35   0.0230306784   9.51907461e+14   -0.515025403   1.03122955   0.522375809   0   316.628905   0   490.788177   0.025876924   0.48271336   1171.02482
2.251   1.24494988e+35   0.0231827337   9.51761779e+14   -0.515051034   1.03137019   0.522306057   0   316.656716   0   490.819968   0.0258735131   0.482649779   1170.96644
2.256   1.24446097e+35   0.0233354426   9.51615772e+14   -0.515076721   1.03151115   0.522236145   0   316.684596   0   490.851836   0.0258700945   0.482586052   1170.90793
2.261   1.24397108e+35   0.0234888064   9.51469438e+14   -0.515102466   1.03165244   0.522166073   0   316.712545   0   490.883781   0.0258666681   0.482522179   1170.8493
2.266   1.24348022e+35   0.0236428264   9.51322779e+14   -0.515128268   1.03179405   0.522095841   0   316.740563   0   490.915802   0.0258632341   0.48245816   1170.79054
2.271   1.24298839e+35   0.0237975037   9.51175793e+14   -0.515154127   1.03193599   0.522025449   0   316.768649   0   490.947901   0.0258597923   0.482393995   1170.73166
2.276   1.24249559e+35   0.0239528397   9.51028482e+14   -0.515180043   1.03207825   0.521954897   0   316.796805   0   490.980076   0.0258563427   0.482329684   1170.67266
2.281   1.24200182e+35   0.0241088355   9.50880844e+14   -0.515206017   1.03222085   0.521884184   0   316.82503   0   491.012329   0.0258528855   0.482265226   1170.61354
2.286   1.24150708e+35   0.0242654925   9.5073288e+14   -0.515232047   1.03236376   0.521813312   0   316.853323   0   491.044659   0.0258494204   0.482200622   1170.55429
2.291   1.24101137e+35   0.0244228118   9.5058459e+14   -0.515258135   1.032507   0.521742279   0   316.881686   0   491.077066   0.0258459477   0.482135872   1170.49492
2.296   1.24051469e+35   0.0245807946   9.50435974e+14   -0.51528428   1.03265057   0.521671086   0   316.910118   0   491.109551   0.0258424672   0.482070975   1170.43542
2.301   1.24001705e+35   0.0247394423   9.50287032e+14   -0.515310482   1.03279446   0.521599733   0   316.938619   0   491.142112   0.025838979   0.482005932   1170.37581
2.306   1.23951844e+35   0.024898756   9.50137763e+14   -0.515336741   1.03293868   0.521528219   0   316.967189   0   491.174751   0.0258354831   0.481940742   1170.31607
2.311   1.23901887e+35   0.025058737   9.49988168e+14   -0.515363057   1.03308323   0.521456545   0   316.995829   0   491.207468   0.0258319794   0.481875406   1170.2562
2.316   1.23851833e+35   0.0252193865   9.49838247e+14   -0.515389431   1.0332281   0.52138471   0   317.024538   0   491.240261   0.0258284679   0.481809924   1170.19622
2.321   1.23801683e+35   0.0253807057   9.49688e+14   -0.515415862   1.0333733   0.521312715   0   317.053317   0   491.273133   0.0258249488   0.481744294   1170.13611
2.326   1.23751436e+35   0.0255426959   9.49537425e+14   -0.515442349   1.03351882   0.521240559   0   317.082165   0   491.306082   0.0258214218   0.481678518   1170.07588
2.331   1.23701094e+35   0.0257053583   9.49386525e+14   -0.515468894   1.03366467   0.521168243   0   317.111083   0   491.339108   0.0258178871   0.481612595   1170.01552
2.336   1.23650655e+35   0.0258686941   9.49235298e+14   -0.515495496   1.03381085   0.521095766   0   317.14007   0   491.372212   0.0258143447   0.481546526   1169.95504
2.341   1.2360012e+35   0.0260327045   9.49083744e+14   -0.515522156   1.03395736   0.521023128   0   317.169127   0   491.405394   0.0258107945   0.48148031   1169.89444
2.346   1.23549489e+35   0.0261973908   9.48931864e+14   -0.515548872   1.03410419   0.520950329   0   317.198254   0   491.438654   0.0258072366   0.481413946   1169.83372
2.351   1.23498762e+35   0.0263627541   9.48779657e+14   -0.515575646   1.03425134   0.52087737   0   317.22745   0   491.471992   0.0258036709   0.481347436   1169.77288
2.356   1.23447939e+35   0.0265287957   9.48627123e+14   -0.515602477   1.03439883   0.520804249   0   317.256717   0   491.505407   0.0258000974   0.481280779   1169.71191
2.361   1.23397021e+35   0.0266955169   9.48474263e+14   -0.515629365   1.03454664   0.520730968   0   317.286053   0   491.5389   0.0257965162   0.481213975   1169.65082
2.366   1.23346006e+35   0.0268629187   9.48321075e+14   -0.51565631   1.03469477   0.520657526   0   317.315459   0   491.572471   0.0257929273   0.481147024   1169.58961
2.371   1.23294896e+35   0.0270310026   9.48167561e+14   -0.515683312   1.03484324   0.520583922   0   317.344936   0   491.606121   0.0257893305   0.481079926   1169.52827
2.376   1.23243691e+35   0.0271997695   9.4801372e+14   -0.515710371   1.03499203   0.520510158   0   317.374482   0   491.639848   0.025785726   0.48101268   1169.46682
2.381   1.2319239e+35   0.0273692208   9.47859553e+14   -0.515737488   1.03514115   0.520436232   0   317.404098   0   491.673654   0.0257821137   0.480945288   1169.40524
2.386   1.23140994e+35   0.0275393577   9.47705058e+14   -0.515764662   1.0352906   0.520362146   0   317.433785   0   491.707537   0.0257784937   0.480877748   1169.34354
2.391   1.23089502e+35   0.0277101814   9.47550236e+14   -0.515791893   1.03544037   0.520287898   0   317.463542   0   491.741499   0.0257748659   0.480810061   1169.28171
2.396   1.23037916e+35   0.027881693   9.47395087e+14   -0.515819181   1.03559047   0.520213488   0   317.493369   0   491.77554   0.0257712303   0.480742226   1169.21977
2.401   1.22986234e+35   0.0280538939   9.47239611e+14   -0.515846526   1.0357409   0.520138918   0   317.523267   0   491.809658   0.0257675869   0.480674244   1169.1577
2.406   1.22934457e+35   0.0282267851   9.47083808e+14   -0.515873928   1.03589166   0.520064185   0   317.553235   0   491.843855   0.0257639358   0.480606115   1169.09551
2.411   1.22882584e+35   0.028400368   9.46927678e+14   -0.515901388   1.03604274   0.519989292   0   317.583274   0   491.878131   0.0257602769   0.480537838   1169.0332
2.416   1.22830618e+35   0.0285746436   9.46771232e+14   -0.515928905   1.03619415   0.519914243   0   317.61338   0   491.912482   0.0257566104   0.480469419   1168.97077
2.421   1.22778556e+35   0.0287496133   9.46614478e+14   -0.515956479   1.03634589   0.519839042   0   317.643554   0   491.946907   0.0257529367   0.480400861   1168.90821
2.426   1.22726399e+35   0.0289252781   9.46457416e+14   -0.51598411   1.03649796   0.519763688   0   317.673795   0   491.981407   0.0257492555   0.480332163   1168.84554
2.431   1.22674148e+35   0.0291016394   9.46300046e+14   -0.516011798   1.03665035   0.519688183   0   317.704102   0   492.015981   0.0257455671   0.480263327   1168.78274
2.436   1.22621802e+35   0.0292786982   9.46142368e+14   -0.516039543   1.03680308   0.519612525   0   317.734477   0   492.050629   0.0257418712   0.480194351   1168.71981
2.441   1.22569362e+35   0.0294564558   9.45984381e+14   -0.516067346   1.03695613   0.519536715   0   317.764918   0   492.085352   0.0257381681   0.480125236   1168.65677
2.446   1.22516827e+35   0.0296349134   9.45826086e+14   -0.516095206   1.03710951   0.519460752   0   317.795427   0   492.120149   0.0257344575   0.480055982   1168.5936
2.451   1.22464197e+35   0.0298140722   9.45667483e+14   -0.516123123   1.03726321   0.519384638   0   317.826003   0   492.15502   0.0257307397   0.479986588   1168.53031
2.456   1.22411474e+35   0.0299939333   9.45508572e+14   -0.516151097   1.03741725   0.519308371   0   317.856646   0   492.189966   0.0257270144   0.479917055   1168.4669
2.461   1.22358656e+35   0.030174498   9.45349352e+14   -0.516179128   1.03757162   0.519231951   0   317.887357   0   492.224987   0.0257232819   0.479847383   1168.40337
2.466   1.22305744e+35   0.0303557674   9.45189825e+14   -0.516207216   1.03772631   0.51915538   0   317.918134   0   492.260081   0.0257195419   0.479777571   1168.33971
2.471   1.22252738e+35   0.0305377427   9.45029989e+14   -0.516235362   1.03788133   0.519078656   0   317.948979   0   492.295251   0.0257157947   0.479707621   1168.27594
2.476   1.22199638e+35   0.0307204251   9.44869845e+14   -0.516263565   1.03803668   0.51900178   0   317.979891   0   492.330495   0.02571204   0.479637531   1168.21204
2.481   1.22146444e+35   0.0309038158   9.44709393e+14   -0.516291825   1.03819236   0.518924751   0   318.010871   0   492.365814   0.025708278   0.479567301   1168.14802
2.486   1.22093157e+35   0.0310879159   9.44548634e+14   -0.516320142   1.03834837   0.51884757   0   318.041918   0   492.401207   0.0257045087   0.479496932   1168.08387
2.491   1.22039775e+35   0.0312727267   9.44387566e+14   -0.516348516   1.03850471   0.518770237   0   318.073033   0   492.436675   0.025700732   0.479426424   1168.01961
2.496   1.219863e+35   0.0314582493   9.4422619e+14   -0.516376948   1.03866138   0.518692751   0   318.104215   0   492.472218   0.025696948   0.479355776   1167.95522
2.501   1.21932732e+35   0.0316444849   9.44064506e+14   -0.516405436   1.03881837   0.518615112   0   318.135465   0   492.507836   0.0256931566   0.479284989   1167.89072
2.506   1.2187907e+35   0.0318314347   9.43902514e+14   -0.516433982   1.0389757   0.518537322   0   318.166782   0   492.543528   0.0256893579   0.479214062   1167.82609
2.511   1.21825314e+35   0.0320190998   9.43740214e+14   -0.516462585   1.03913335   0.518459378   0   318.198168   0   492.579296   0.0256855518   0.479142996   1167.76133
2.516   1.21771465e+35   0.0322074814   9.43577606e+14   -0.516491245   1.03929134   0.518381282   0   318.22962   0   492.615138   0.0256817384   0.47907179   1167.69646
2.521   1.21717523e+35   0.0323965807   9.4341469e+14   -0.516519962   1.03944965   0.518303034   0   318.261141   0   492.651055   0.0256779176   0.479000445   1167.63147
2.526   1.21663488e+35   0.0325863988   9.43251466e+14   -0.516548737   1.03960829   0.518224633   0   318.29273   0   492.687048   0.0256740895   0.47892896   1167.56635
2.531   1.21609359e+35   0.032776937   9.43087934e+14   -0.516577569   1.03976726   0.51814608   0   318.324386   0   492.723115   0.025670254   0.478857336   1167.50111
2.536   1.21555138e+35   0.0329681963   9.42924094e+14   -0.516606458   1.03992657   0.518067374   0   318.35611   0   492.759257   0.0256664111   0.478785572   1167.43575
2.541   1.21500823e+35   0.033160178   9.42759946e+14   -0.516635404   1.0400862   0.517988515   0   318.387903   0   492.795475   0.025662561   0.478713669   1167.37027
2.546   1.21446416e+35   0.0333528832   9.4259549e+14   -0.516664407   1.04024616   0.517909504   0   318.419763   0   492.831767   0.0256587034   0.478641626   1167.30467
2.551   1.21391916e+35   0.0335463131   9.42430726e+14   -0.516693467   1.04040645   0.51783034   0   318.451691   0   492.868135   0.0256548385   0.478569443   1167.23895
2.556   1.21337324e+35   0.0337404688   9.42265655e+14   -0.516722585   1.04056708   0.517751023   0   318.483688   0   492.904578   0.0256509663   0.478497121   1167.1731
2.561   1.21282638e+35   0.0339353514   9.42100275e+14   -0.516751759   1.04072803   0.517671554   0   318.515752   0   492.941097   0.0256470867   0.478424658   1167.10714
2.566   1.21227861e+35   0.0341309622   9.41934588e+14   -0.516780991   1.04088931   0.517591932   0   318.547885   0   492.977691   0.0256431997   0.478352057   1167.04105
2.571   1.2117299e+35   0.0343273023   9.41768592e+14   -0.51681028   1.04105092   0.517512157   0   318.580086   0   493.01436   0.0256393054   0.478279315   1166.97484
2.576   1.21118028e+35   0.0345243729   9.41602289e+14   -0.516839627   1.04121287   0.517432229   0   318.612356   0   493.051104   0.0256354037   0.478206434   1166.90851
2.581   1.21062973e+35   0.034722175   9.41435677e+14   -0.51686903   1.04137514   0.517352149   0   318.644694   0   493.087924   0.0256314947   0.478133412   1166.84206
2.586   1.21007826e+35   0.0349207099   9.41268758e+14   -0.516898491   1.04153774   0.517271916   0   318.6771   0   493.12482   0.0256275783   0.478060251   1166.77549
2.591   1.20952587e+35   0.0351199787   9.41101531e+14   -0.516928009   1.04170068   0.51719153   0   318.709575   0   493.161791   0.0256236546   0.477986951   1166.7088
2.596   1.20897256e+35   0.0353199825   9.40933996e+14   -0.516957583   1.04186395   0.517110991   0   318.742118   0   493.198837   0.0256197235   0.47791351   1166.64199
2.601   1.20841833e+35   0.0355207226   9.40766153e+14   -0.516987216   1.04202754   0.517030299   0   318.77473   0   493.23596   0.0256157851   0.477839929   1166.57505
2.606   1.20786318e+35   0.0357221999   9.40598002e+14   -0.517016905   1.04219147   0.516949454   0   318.80741   0   493.273158   0.0256118393   0.477766209   1166.508
2.611   1.20730711e+35   0.0359244157   9.40429543e+14   -0.517046651   1.04235573   0.516868456   0   318.840159   0   493.310431   0.0256078861   0.477692348   1166.44082
2.616   1.20675013e+35   0.0361273712   9.40260776e+14   -0.517076455   1.04252032   0.516787305   0   318.872977   0   493.347781   0.0256039256   0.477618348   1166.37353
2.621   1.20619223e+35   0.0363310674   9.40091702e+14   -0.517106316   1.04268524   0.516706001   0   318.905864   0   493.385206   0.0255999577   0.477544207   1166.30611
2.626   1.20563341e+35   0.0365355054   9.39922319e+14   -0.517136234   1.04285049   0.516624545   0   318.938819   0   493.422707   0.0255959825   0.477469927   1166.23857
2.631   1.20507368e+35   0.0367406866   9.39752629e+14   -0.517166209   1.04301607   0.516542935   0   318.971844   0   493.460284   0.0255919999   0.477395506   1166.17091
2.636   1.20451304e+35   0.0369466118   9.3958263e+14   -0.517196242   1.04318199   0.516461172   0   319.004937   0   493.497937   0.0255880099   0.477320946   1166.10314
2.641   1.20395148e+35   0.0371532824   9.39412324e+14   -0.517226331   1.04334824   0.516379255   0   319.038099   0   493.535666   0.0255840126   0.477246245   1166.03524
2.646   1.20338901e+35   0.0373606994   9.39241709e+14   -0.517256478   1.04351481   0.516297186   0   319.07133   0   493.573471   0.0255800079   0.477171404   1165.96722
2.651   1.20282564e+35   0.0375688639   9.39070787e+14   -0.517286682   1.04368172   0.516214964   0   319.104631   0   493.611352   0.0255759959   0.477096423   1165.89908
2.656   1.20226135e+35   0.0377777772   9.38899556e+14   -0.517316943   1.04384897   0.516132588   0   319.138   0   493.649309   0.0255719765   0.477021302   1165.83082
2.661   1.20169615e+35   0.0379874402   9.38728018e+14   -0.517347261   1.04401654   0.516050059   0   319.171439   0   493.687342   0.0255679497   0.47694604   1165.76244
2.666   1.20113004e+35   0.0381978542   9.38556171e+14   -0.517377637   1.04418444   0.515967377   0   319.204947   0   493.725452   0.0255639156   0.476870638   1165.69393
2.671   1.20056303e+35   0.0384090202   9.38384017e+14   -0.51740807   1.04435268   0.515884541   0   319.238524   0   493.763638   0.0255598741   0.476795096   1165.62531
2.676   1.19999511e+35   0.0386209395   9.38211555e+14   -0.517438559   1.04452125   0.515801552   0   319.272171   0   493.8019   0.0255558252   0.476719414   1165.55657
2.681   1.19942628e+35   0.038833613   9.38038784e+14   -0.517469106   1.04469015   0.51571841   0   319.305887   0   493.840238   0.025551769   0.476643591   1165.48771
2.686   1.19885655e+35   0.0390470419   9.37865706e+14   -0.517499711   1.04485939   0.515635114   0   319.339673   0   493.878653   0.0255477054   0.476567628   1165.41873
2.691   1.19828591e+35   0.0392612274   9.37692319e+14   -0.517530372   1.04502895   0.515551665   0   319.373528   0   493.917145   0.0255436345   0.476491525   1165.34962
2.696   1.19771437e+35   0.0394761705   9.37518624e+14   -0.517561091   1.04519885   0.515468062   0   319.407453   0   493.955713   0.0255395562   0.476415281   1165.2804
2.701   1.19714193e+35   0.0396918724   9.37344621e+14   -0.517591866   1.04536908   0.515384306   0   319.441447   0   493.994357   0.0255354705   0.476338896   1165.21106
2.706   1.19656859e+35   0.0399083341   9.37170311e+14   -0.517622699   1.04553965   0.515300396   0   319.475511   0   494.033078   0.0255313774   0.476262371   1165.1416
2.711   1.19599434e+35   0.0401255569   9.36995692e+14   -0.517653589   1.04571055   0.515216333   0   319.509645   0   494.071876   0.025527277   0.476185706   1165.07202
2.716   1.1954192e+35   0.0403435417   9.36820764e+14   -0.517684537   1.04588177   0.515132116   0   319.543848   0   494.110751   0.0255231692   0.4761089   1165.00231
2.721   1.19484316e+35   0.0405622898   9.36645529e+14   -0.517715541   1.04605334   0.515047745   0   319.578122   0   494.149702   0.025519054   0.476031953   1164.93249
2.726   1.19426622e+35   0.0407818021   9.36469985e+14   -0.517746603   1.04622523   0.514963221   0   319.612465   0   494.18873   0.0255149315   0.475954865   1164.86255
2.731   1.19368838e+35   0.0410020798   9.36294134e+14   -0.517777722   1.04639746   0.514878543   0   319.646879   0   494.227835   0.0255108016   0.475877637   1164.79249
2.736   1.19310964e+35   0.0412231241   9.36117974e+14   -0.517808898   1.04657002   0.514793711   0   319.681362   0   494.267017   0.0255066643   0.475800269   1164.72231
2.741   1.19253001e+35   0.041444936   9.35941506e+14   -0.517840131   1.04674292   0.514708725   0   319.715916   0   494.306276   0.0255025196   0.475722759   1164.65201
2.746   1.19194949e+35   0.0416675166   9.35764729e+14   -0.517871421   1.04691615   0.514623586   0   319.75054   0   494.345612   0.0254983676   0.475645109   1164.58159
2.751   1.19136807e+35   0.0418908669   9.35587644e+14   -0.517902769   1.04708971   0.514538292   0   319.785234   0   494.385025   0.0254942082   0.475567317   1164.51105
2.756   1.19078576e+35   0.0421149882   9.35410251e+14   -0.517934174   1.0472636   0.514452845   0   319.819998   0   494.424515   0.0254900414   0.475489385   1164.44039
2.761   1.19020256e+35   0.0423398815   9.3523255e+14   -0.517965636   1.04743783   0.514367244   0   319.854832   0   494.464082   0.0254858672   0.475411312   1164.36961
2.766   1.18961846e+35   0.0425655479   9.3505454e+14   -0.517997155   1.0476124   0.514281488   0   319.889737   0   494.503726   0.0254816857   0.475333099   1164.29871
2.771   1.18903348e+35   0.0427919884   9.34876222e+14   -0.518028731   1.04778729   0.514195579   0   319.924713   0   494.543448   0.0254774967   0.475254744   1164.22769
2.776   1.1884476e+35   0.0430192042   9.34697595e+14   -0.518060364   1.04796252   0.514109516   0   319.959759   0   494.583247   0.0254733004   0.475176248   1164.15656
2.781   1.18786084e+35   0.0432471964   9.3451866e+14   -0.518092055   1.04813809   0.514023298   0   319.994876   0   494.623124   0.0254690968   0.475097611   1164.0853
2.786   1.18727319e+35   0.043475966   9.34339417e+14   -0.518123803   1.04831399   0.513936927   0   320.030063   0   494.663078   0.0254648857   0.475018833   1164.01392
2.791   1.18668466e+35   0.0437055141   9.34159865e+14   -0.518155608   1.04849022   0.513850401   0   320.065321   0   494.703109   0.0254606672   0.474939914   1163.94243
2.796   1.18609523e+35   0.0439358418   9.33980004e+14   -0.51818747   1.04866678   0.513763721   0   320.100649   0   494.743218   0.0254564414   0.474860853   1163.87081
2.801   1.18550493e+35   0.0441669502   9.33799835e+14   -0.51821939   1.04884369   0.513676886   0   320.136049   0   494.783405   0.0254522082   0.474781652   1163.79908
2.806   1.18491373e+35   0.0443988403   9.33619357e+14   -0.518251366   1.04902092   0.513589898   0   320.171519   0   494.823669   0.0254479676   0.474702309   1163.72723
2.811   1.18432166e+35   0.0446315133   9.33438571e+14   -0.5182834   1.04919849   0.513502755   0   320.207061   0   494.864011   0.0254437196   0.474622825   1163.65526
2.816   1.1837287e+35   0.0448649702   9.33257476e+14   -0.518315491   1.0493764   0.513415457   0   320.242673   0   494.904431   0.0254394642   0.4745432   1163.58317
2.821   1.18313487e+35   0.0450992121   9.33076072e+14   -0.518347639   1.04955463   0.513328005   0   320.278357   0   494.944929   0.0254352014   0.474463433   1163.51096
2.826   1.18254015e+35   0.0453342401   9.3289436e+14   -0.518379844   1.04973321   0.513240399   0   320.314111   0   494.985504   0.0254309312   0.474383525   1163.43863
2.831   1.18194455e+35   0.0455700551   9.32712339e+14   -0.518412107   1.04991212   0.513152638   0   320.349937   0   495.026157   0.0254266537   0.474303475   1163.36619
2.836   1.18134807e+35   0.0458066584   9.32530009e+14   -0.518444427   1.05009136   0.513064722   0   320.385834   0   495.066889   0.0254223687   0.474223284   1163.29362
2.841   1.18075072e+35   0.0460440509   9.3234737e+14   -0.518476803   1.05027094   0.512976652   0   320.421803   0   495.107698   0.0254180764   0.474142951   1163.22094
2.846   1.18015249e+35   0.0462822337   9.32164422e+14   -0.518509237   1.05045085   0.512888427   0   320.457842   0   495.148586   0.0254137766   0.474062477   1163.14813
2.851   1.17955338e+35   0.046521208   9.31981166e+14   -0.518541729   1.0506311   0.512800048   0   320.493954   0   495.189552   0.0254094695   0.473981861   1163.07521
2.856   1.1789534e+35   0.0467609746   9.317976e+14   -0.518574277   1.05081169   0.512711513   0   320.530136   0   495.230596   0.0254051549   0.473901103   1163.00217
2.861   1.17835254e+35   0.0470015348   9.31613726e+14   -0.518606883   1.05099261   0.512622824   0   320.566391   0   495.271718   0.025400833   0.473820204   1162.92901
2.866   1.17775081e+35   0.0472428896   9.31429542e+14   -0.518639545   1.05117386   0.51253398   0   320.602717   0   495.312919   0.0253965037   0.473739163   1162.85574
2.871   1.17714821e+35   0.0474850399   9.31245049e+14   -0.518672265   1.05135545   0.512444981   0   320.639115   0   495.354198   0.0253921669   0.47365798   1162.78234
2.876   1.17654474e+35   0.047727987   9.31060248e+14   -0.518705042   1.05153738   0.512355827   0   320.675584   0   495.395555   0.0253878228   0.473576655   1162.70883
2.881   1.1759404e+35   0.0479717317   9.30875137e+14   -0.518737877   1.05171964   0.512266518   0   320.712126   0   495.436991   0.0253834713   0.473495189   1162.63519
2.886   1.17533518e+35   0.0482162753   9.30689717e+14   -0.518770768   1.05190224   0.512177054   0   320.748739   0   495.478506   0.0253791123   0.47341358   1162.56144
2.891   1.1747291e+35   0.0484616186   9.30503988e+14   -0.518803717   1.05208517   0.512087435   0   320.785425   0   495.520099   0.025374746   0.47333183   1162.48757
2.896   1.17412215e+35   0.0487077629   9.30317949e+14   -0.518836723   1.05226844   0.511997661   0   320.822182   0   495.561771   0.0253703722   0.473249937   1162.41359
2.901   1.17351434e+35   0.0489547091   9.30131601e+14   -0.518869786   1.05245204   0.511907732   0   320.859011   0   495.603522   0.025365991   0.473167903   1162.33948
2.906   1.17290565e+35   0.0492024582   9.29944944e+14   -0.518902906   1.05263599   0.511817647   0   320.895913   0   495.645351   0.0253616024   0.473085726   1162.26526
2.911   1.17229611e+35   0.0494510114   9.29757977e+14   -0.518936083   1.05282026   0.511727407   0   320.932887   0   495.68726   0.0253572064   0.473003407   1162.19091
2.916   1.1716857e+35   0.0497003696   9.29570701e+14   -0.518969318   1.05300488   0.511637011   0   320.969934   0   495.729247   0.025352803   0.472920946   1162.11646
2.921   1.17107442e+35   0.0499505339   9.29383115e+14   -0.51900261   1.05318983   0.511546461   0   321.007052   0   495.771314   0.0253483922   0.472838342   1162.04188
2.926   1.17046229e+35   0.0502015053   9.2919522e+14   -0.519035959   1.05337512   0.511455754   0   321.044243   0   495.813459   0.025343974   0.472755596   1161.96718
2.931   1.16984929e+35   0.050453285   9.29007015e+14   -0.519069365   1.05356074   0.511364893   0   321.081507   0   495.855684   0.0253395483   0.472672708   1161.89237
2.936   1.16923543e+35   0.0507058738   9.28818501e+14   -0.519102828   1.0537467   0.511273875   0   321.118844   0   495.897987   0.0253351152   0.472589678   1161.81744
2.941   1.16862071e+35   0.0509592728   9.28629676e+14   -0.519136349   1.053933   0.511182702   0   321.156253   0   495.94037   0.0253306748   0.472506505   1161.74239
2.946   1.16800514e+35   0.0512134831   9.28440542e+14   -0.519169926   1.05411963   0.511091373   0   321.193734   0   495.982833   0.0253262268   0.472423189   1161.66722
2.951   1.1673887e+35   0.0514685057   9.28251098e+14   -0.519203561   1.0543066   0.510999889   0   321.231289   0   496.025375   0.0253217715   0.472339731   1161.59194
2.956   1.16677141e+35   0.0517243416   9.28061345e+14   -0.519237253   1.05449391   0.510908249   0   321.268916   0   496.067996   0.0253173087   0.47225613   1161.51653
2.961   1.16615327e+35   0.0519809919   9.27871281e+14   -0.519271002   1.05468156   0.510816453   0   321.306617   0   496.110697   0.0253128385   0.472172387   1161.44101
2.966   1.16553427e+35   0.0522384575   9.27680907e+14   -0.519304809   1.05486954   0.510724501   0   321.34439   0   496.153477   0.0253083609   0.472088501   1161.36538
2.971   1.16491441e+35   0.0524967395   9.27490223e+14   -0.519338672   1.05505786   0.510632393   0   321.382237   0   496.196337   0.0253038759   0.472004472   1161.28962
2.976   1.16429371e+35   0.0527558389   9.27299229e+14   -0.519372593   1.05524652   0.510540129   0   321.420157   0   496.239276   0.0252993834   0.4719203   1161.21375
2.981   1.16367215e+35   0.0530157567   9.27107925e+14   -0.519406571   1.05543551   0.510447709   0   321.45815   0   496.282296   0.0252948835   0.471835985   1161.13776
2.986   1.16304974e+35   0.053276494   9.26916311e+14   -0.519440606   1.05562484   0.510355133   0   321.496216   0   496.325395   0.0252903761   0.471751528   1161.06165
2.991   1.16242648e+35   0.0535380518   9.26724386e+14   -0.519474698   1.05581451   0.5102624   0   321.534356   0   496.368574   0.0252858614   0.471666927   1160.98543
2.996   1.16180237e+35   0.053800431   9.26532152e+14   -0.519508848   1.05600452   0.510169512   0   321.572569   0   496.411833   0.0252813391   0.471582183   1160.90908
3.001   1.16117741e+35   0.0540636327   9.26339606e+14   -0.519543054   1.05619487   0.510076467   0   321.610856   0   496.455173   0.0252768095   0.471497296   1160.83262
3.006   1.16055161e+35   0.0543276578   9.2614675e+14   -0.519577318   1.05638555   0.509983266   0   321.649216   0   496.498592   0.0252722724   0.471412266   1160.75605
3.011   1.15992496e+35   0.0545925075   9.25953584e+14   -0.519611639   1.05657657   0.509889908   0   321.68765   0   496.542091   0.0252677278   0.471327093   1160.67935
3.016   1.15929746e+35   0.0548581827   9.25760107e+14   -0.519646017   1.05676793   0.509796394   0   321.726158   0   496.585671   0.0252631759   0.471241777   1160.60254
3.021   1.15866912e+35   0.0551246844   9.25566319e+14   -0.519680453   1.05695963   0.509702723   0   321.76474   0   496.629331   0.0252586164   0.471156317   1160.52561
3.026   1.15803994e+35   0.0553920135   9.25372221e+14   -0.519714945   1.05715166   0.509608896   0   321.803395   0   496.673071   0.0252540496   0.471070714   1160.44857
3.031   1.15740991e+35   0.0556601712   9.25177812e+14   -0.519749495   1.05734404   0.509514912   0   321.842125   0   496.716892   0.0252494752   0.470984967   1160.37141
3.036   1.15677904e+35   0.0559291584   9.24983092e+14   -0.519784102   1.05753675   0.509420771   0   321.880928   0   496.760794   0.0252448934   0.470899077   1160.29413
3.041   1.15614734e+35   0.0561989761   9.24788061e+14   -0.519818766   1.0577298   0.509326473   0   321.919806   0   496.804776   0.0252403042   0.470813044   1160.21673
3.046   1.15551479e+35   0.0564696253   9.24592718e+14   -0.519853487   1.05792319   0.509232019   0   321.958758   0   496.848838   0.0252357075   0.470726866   1160.13922
3.051   1.1548814e+35   0.0567411069   9.24397065e+14   -0.519888265   1.05811692   0.509137408   0   321.997784   0   496.892981   0.0252311034   0.470640545   1160.06159
3.056   1.15424718e+35   0.0570134221   9.24201101e+14   -0.519923101   1.05831099   0.509042639   0   322.036885   0   496.937205   0.0252264918   0.470554081   1159.98385
3.061   1.15361212e+35   0.0572865717   9.24004826e+14   -0.519957994   1.0585054   0.508947714   0   322.07606   0   496.98151   0.0252218727   0.470467472   1159.90598
3.066   1.15297622e+35   0.0575605567   9.23808239e+14   -0.519992944   1.05870014   0.508852632   0   322.11531   0   497.025896   0.0252172462   0.47038072   1159.828
3.071   1.15233949e+35   0.0578353782   9.23611341e+14   -0.520027951   1.05889523   0.508757392   0   322.154634   0   497.070363   0.0252126122   0.470293824   1159.74991
