r (km)   P (dyn/cm^2)   M/M_solar   rho (g/cm^3)   g_{tt}   g_{rr}   n_b (fm^{-3})   A_eq   M_n* (MeV)   Z_eq   M_p* (MeV)   n_e (fm^{-3})   n_n(n_nf) (fm^{-3})   mu_n(mu_nf) (MeV)
0.181   1.35699209e+35   1.22972389e-05   9.84382789e+14   -0.509319023   1.00020069   0.537832628   0   310.585918   0   483.839365   0.0266352639   0.496795552   1184.18816
0.186   1.35695022e+35   1.33446611e-05   9.84370876e+14   -0.509321099   1.00021193   0.53782699   0   310.58808   0   483.841865   0.0266349863   0.496790418   1184.18329
0.191   1.35690721e+35   1.4449924e-05   9.84358638e+14   -0.509323231   1.00022348   0.537821198   0   310.5903   0   483.844434   0.0266347012   0.496785144   1184.17829
0.196   1.35686306e+35   1.56145809e-05   9.84346076e+14   -0.509325421   1.00023534   0.537815253   0   310.592579   0   483.84707   0.0266344085   0.496779731   1184.17315
0.201   1.35681777e+35   1.68401853e-05   9.84333189e+14   -0.509327667   1.0002475   0.537809154   0   310.594918   0   483.849775   0.0266341083   0.496774177   1184.16788
0.206   1.35677134e+35   1.81282902e-05   9.84319978e+14   -0.509329971   1.00025997   0.537802902   0   310.597315   0   483.852548   0.0266338005   0.496768484   1184.16248
0.211   1.35672377e+35   1.94804485e-05   9.84306442e+14   -0.509332331   1.00027274   0.537796496   0   310.599771   0   483.855389   0.0266334851   0.496762651   1184.15695
0.216   1.35667506e+35   2.08982133e-05   9.84292582e+14   -0.509334749   1.00028582   0.537789936   0   310.602286   0   483.858298   0.0266331622   0.496756677   1184.15128
0.221   1.35662521e+35   2.23831373e-05   9.84278397e+14   -0.509337223   1.00029921   0.537783223   0   310.60486   0   483.861276   0.0266328317   0.496750564   1184.14548
0.226   1.35657422e+35   2.3936773e-05   9.84263888e+14   -0.509339754   1.0003129   0.537776356   0   310.607493   0   483.864321   0.0266324937   0.496744311   1184.13955
0.231   1.35652209e+35   2.55606731e-05   9.84249054e+14   -0.509342342   1.0003269   0.537769336   0   310.610185   0   483.867435   0.0266321481   0.496737919   1184.13348
0.236   1.35646882e+35   2.72563897e-05   9.84233895e+14   -0.509344987   1.00034121   0.537762162   0   310.612936   0   483.870617   0.0266317949   0.496731386   1184.12729
0.241   1.35641441e+35   2.90254752e-05   9.84218412e+14   -0.509347689   1.00035582   0.537754834   0   310.615746   0   483.873867   0.0266314342   0.496724713   1184.12096
