r (km)   P (dyn/cm^2)   M/M_solar   rho (g/cm^3)   g_{tt}   g_{rr}   n_b (fm^{-3})   A_eq   A   Z_eq   Z   n_e (fm^{-3})   n_n(n_nf) (fm^{-3})   mu_n(mu_nf) (MeV)
10.8702969   3.25126658e+32   1.38996997   9.45707012e+13   -0.634176506   1.60678567   0.055997794   1042.47467   282.95961   38.2815967   38.2815967   0.0020563425   0.0469982961   950.987478
10.8727969   3.19197111e+32   1.39014552   9.34637232e+13   -0.634220846   1.60668462   0.0553447245   1042.82188   280.544434   38.2879353   38.2879353   0.00203202031   0.0464627123   950.922266
10.8752969   3.13340001e+32   1.39031909   9.23593954e+13   -0.634265171   1.60658222   0.0546931072   1043.40826   278.285049   38.3007276   38.3007276   0.00200763774   0.0459283412   950.858258
10.8777969   3.07555175e+32   1.39049068   9.1257161e+13   -0.634309479   1.6064785   0.0540426524   1044.16786   276.155433   38.3194023   38.3194023   0.0019832847   0.0453945013   950.79482
10.8802969   3.01842459e+32   1.39066028   9.01565228e+13   -0.63435377   1.60637345   0.0533931047   1045.03292   274.130193   38.3434049   38.3434049   0.00195905162   0.0448605433   950.731293
10.8827969   2.96201665e+32   1.3908279   8.90570396e+13   -0.634398045   1.60626708   0.052744242   1045.93368   272.184431   38.3721936   38.3721936   0.00193502924   0.0443258478   950.666994
10.8852969   2.90632586e+32   1.39099355   8.79585362e+13   -0.634442304   1.60615939   0.0520959972   1046.80949   270.298932   38.4053986   38.4053986   0.00191130054   0.0437899269   950.601226
10.8877969   2.85135026e+32   1.39115722   8.68630559e+13   -0.634486547   1.60605037   0.0514495801   1047.73426   268.512879   38.4442593   38.4442593   0.00188782698   0.0432536599   950.533863
10.8902969   2.79708811e+32   1.39131892   8.57708617e+13   -0.634530772   1.60594004   0.0508051132   1048.72785   266.826909   38.4884813   38.4884813   0.00186455585   0.0427175813   950.465461
10.8927969   2.74353745e+32   1.39147864   8.46815683e+13   -0.634574981   1.6058284   0.0501623356   1049.77778   265.225331   38.537237   38.537237   0.00184145431   0.0421819547   950.39662
10.8952969   2.69069604e+32   1.39163639   8.35948386e+13   -0.634619174   1.60571545   0.049521015   1050.87149   263.692866   38.5897159   38.5897159   0.00181849248   0.0416470584   950.327965
10.8977969   2.63856138e+32   1.39179218   8.25103807e+13   -0.634663349   1.6056012   0.0488809465   1051.99638   262.214578   38.6451213   38.6451213   0.00179564317   0.0411131865   950.260142
10.9002969   2.58713072e+32   1.39194602   8.14280724e+13   -0.634707508   1.60548564   0.0482420262   1053.14317   260.777989   38.7027701   38.7027701   0.0017728834   0.0405806842   950.193812
10.9027969   2.53640132e+32   1.39209789   8.03497898e+13   -0.63475165   1.60536879   0.0476053556   1054.353   259.406682   38.7637115   38.7637115   0.00175023002   0.0400502879   950.129153
10.9052969   2.4863708e+32   1.39224781   7.92758707e+13   -0.634795774   1.60525065   0.0469711634   1055.61802   258.102525   38.8280143   38.8280143   0.00172770545   0.0395219095   950.065656
10.9077969   2.43703654e+32   1.39239579   7.82058969e+13   -0.634839882   1.60513122   0.0463392329   1056.90756   256.854573   38.8951427   38.8951427   0.00170532518   0.0389952097   950.00275
10.9102969   2.38839566e+32   1.39254182   7.71395027e+13   -0.634883973   1.6050105   0.0457093778   1058.19073   255.652236   38.9645739   38.9645739   0.0016831053   0.0384698773   949.939849
10.9127969   2.34044499e+32   1.39268592   7.6076371e+13   -0.634928046   1.60488851   0.04508144   1059.43641   254.48523   39.0357954   39.0357954   0.00166106229   0.0379456276   949.876346
